==============================================================================
  Time (s)    DT (s)  CV  NIT Max Residual    Fluid      Elapsed      Left    
      0.1469  0.42E-03  C  19 V1=0.84E-03     0.13s      30.91s       1.16h   
      0.1473  0.42E-03  C  19 V1=0.88E-03     0.13s      31.04s       1.17h   
      0.1477  0.42E-03  C  19 V1=0.94E-03     0.13s      31.17s       1.17h   
      0.1481  0.42E-03  C  20 V1=0.85E-03     0.13s      31.30s       1.17h   
      0.1485  0.42E-03  C  20 V1=0.91E-03     0.14s      31.44s       1.17h   
      0.1490  0.46E-03  C  20 V1=0.98E-03     0.13s      31.57s       1.17h   
      0.1494  0.46E-03  C  21 V1=0.95E-03     0.14s      31.71s       1.17h   
      0.1499  0.46E-03  C  22 V1=0.87E-03     0.17s      31.89s       1.18h   
      0.1503  0.46E-03  C  22 V1=0.91E-03     0.15s      32.04s       1.18h   
      0.1508  0.46E-03  C  22 V1=0.93E-03     0.15s      32.18s       1.18h   
      0.1513  0.46E-03  C  22 V1=0.92E-03     0.15s      32.33s       1.18h   
      0.1517  0.42E-03  C  22 V1=0.89E-03     0.15s      32.48s       1.18h   
      0.1522  0.42E-03  C  21 V1=0.87E-03     0.14s      32.62s       1.19h   
      0.1526  0.42E-03  C  20 V1=0.90E-03     0.13s      32.75s       1.19h   
      0.1530  0.42E-03  C  20 V1=0.81E-03     0.16s      32.91s       1.19h   
      0.1534  0.42E-03  C  18 V1=0.91E-03     0.19s      33.10s       1.19h   
      0.1538  0.42E-03  C  17 V1=0.91E-03     0.12s      33.22s       1.19h   
      0.1542  0.38E-03  C  16 V1=0.87E-03     0.11s      33.33s       1.19h   
      0.1546  0.38E-03  C  15 V1=0.82E-03     0.10s      33.43s       1.19h   
      0.1550  0.38E-03  C  15 V1=0.62E-03     0.10s      33.53s       1.20h   
      0.1554  0.38E-03  C  14 V1=0.48E-03     0.10s      33.62s       1.20h   
      0.1558  0.38E-03  C  13 U1=0.53E-03     0.09s      33.71s       1.20h   
      0.1561  0.38E-03  C  14 U1=0.44E-03     0.10s      33.81s       1.20h   
      0.1565  0.34E-03  C  15 V1=0.40E-03     0.10s      33.91s       1.20h   
      0.1568  0.34E-03  C  15 V1=0.54E-03     0.10s      34.02s       1.20h   
      0.1572  0.34E-03  C  16 V1=0.64E-03     0.11s      34.12s       1.20h   
      0.1575  0.34E-03  C  17 V1=0.65E-03     0.11s      34.24s       1.20h   
      0.1579  0.34E-03  C  17 V1=0.72E-03     0.11s      34.35s       1.20h   
      0.1582  0.34E-03  C  17 V1=0.75E-03     0.11s      34.46s       1.20h   
      0.1586  0.38E-03  C  17 V1=0.72E-03     0.11s      34.58s       1.20h   
      0.1589  0.38E-03  C  17 V1=0.68E-03     0.11s      34.69s       1.21h   
      0.1593  0.38E-03  C  16 V1=0.60E-03     0.11s      34.79s       1.21h   
      0.1597  0.38E-03  C  14 V1=0.50E-03     0.09s      34.89s       1.21h   
      0.1600  0.38E-03  C  13 U1=0.56E-03     0.09s      34.98s       1.21h   
      0.1604  0.38E-03  C  14 V1=0.35E-03     0.09s      35.07s       1.21h   
      0.1608  0.42E-03  C  15 V1=0.62E-03     0.10s      35.18s       1.21h   
